epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.98162,2.70277,3.00873,2.41145,0.05076,0.15789,0.04404,0.00966,2.70279,2.82144,2.16939,0.0955,0.0005,0.0005
2,3.55858,2.69309,3.18081,2.32747,0.60576,0.10526,0.06948,0.01696,2.6489,2.7243,2.14052,0.0900891,0.00108911,0.00108911
3,5.40168,2.70167,2.99298,2.45318,0.7123,0.13158,0.12285,0.04235,2.61448,2.23785,2.09499,0.0846663,0.00166634,0.00166634
4,7.25384,2.57876,2.62256,2.24258,0.7888,0.15789,0.15181,0.04046,2.56104,2.11021,2.01846,0.0792317,0.00223169,0.00223169
5,8.98314,2.37119,2.45963,2.00313,0.70504,0.16497,0.16915,0.0554,2.39758,2.10972,1.92914,0.0737852,0.00278516,0.00278516
6,10.8095,2.31758,2.1887,1.99806,0.75818,0.15789,0.17163,0.06065,2.30604,1.95874,1.85468,0.0683268,0.00332675,0.00332675
7,12.0414,2.20671,2.15324,1.99856,0.88152,0.13158,0.20901,0.07446,2.25903,2.06843,1.8383,0.0628565,0.00385646,0.00385646
8,13.2817,2.11119,2.1073,1.89029,0.81863,0.26316,0.28668,0.10369,2.19171,2.15435,1.84473,0.0573743,0.00437429,0.00437429
9,14.174,2.06254,1.99763,1.87619,0.68795,0.20623,0.12453,0.05232,2.11715,2.50199,1.89703,0.0518802,0.00488024,0.00488024
10,16.0036,2.02133,2.40564,1.95568,0.68795,0.20623,0.12453,0.05232,2.11715,2.50199,1.89703,0.0463743,0.00537431,0.00537431
11,17.7151,2.12164,3.30077,1.99229,0.65666,0.28947,0.19295,0.06687,2.24989,4.46027,2.17334,0.0408565,0.0058565,0.0058565
12,19.4351,2.047,4.32969,2.06261,0.79348,0.22483,0.23111,0.10309,2.13922,2.70891,1.81732,0.0353268,0.00632681,0.00632681
13,21.1381,2.13515,2.71394,1.8766,0.79348,0.22483,0.23111,0.10309,2.13922,2.70891,1.81732,0.0297852,0.00678524,0.00678524
14,22.743,2.15027,2.59453,1.72113,0.75647,0.26316,0.23492,0.10313,2.14495,2.22422,1.70452,0.0242318,0.00723179,0.00723179
15,24.4421,2.01829,2.39807,1.72788,0.75647,0.26316,0.23492,0.10313,2.14495,2.22422,1.70452,0.0186665,0.00766646,0.00766646
16,26.0293,1.93595,3.00264,1.76625,0.5735,0.10526,0.11246,0.03391,2.08978,2.82117,1.68735,0.0130892,0.00808925,0.00808925
17,27.6074,1.84685,2.75171,1.68965,0.5735,0.10526,0.11246,0.03391,2.08978,2.82117,1.68735,0.008416,0.008416,0.008416
18,29.2193,2.12486,3.15556,1.9388,0.66526,0.23684,0.1851,0.0528,2.32877,2.79535,2.10591,0.008317,0.008317,0.008317
19,30.9175,1.99651,2.44393,1.93215,0.66526,0.23684,0.1851,0.0528,2.32877,2.79535,2.10591,0.008218,0.008218,0.008218
20,32.5056,2.0173,2.8112,1.90786,0.79598,0.21053,0.23068,0.09084,2.18569,2.32918,1.74312,0.008119,0.008119,0.008119
21,34.0791,2.06213,2.55935,1.69369,0.79598,0.21053,0.23068,0.09084,2.18569,2.32918,1.74312,0.00802,0.00802,0.00802
22,35.7058,1.98395,2.27004,1.70399,0.75465,0.31579,0.28532,0.12583,2.02049,2.73599,1.54358,0.007921,0.007921,0.007921
23,37.2833,2.04721,3.19515,1.61559,0.75465,0.31579,0.28532,0.12583,2.02049,2.73599,1.54358,0.007822,0.007822,0.007822
24,38.5081,2.02608,3.74595,1.56118,0.75465,0.31579,0.28532,0.12583,2.02049,2.73599,1.54358,0.007723,0.007723,0.007723
25,39.764,1.95309,3.19171,1.6173,0.81434,0.17865,0.20508,0.07414,2.08805,2.64788,1.63612,0.007624,0.007624,0.007624
26,40.5845,1.9742,2.88785,1.6493,0.81434,0.17865,0.20508,0.07414,2.08805,2.64788,1.63612,0.007525,0.007525,0.007525
27,42.3259,1.85715,2.20271,1.5257,0.70313,0.28947,0.2436,0.09943,2.05025,1.92627,1.53584,0.007426,0.007426,0.007426
28,43.8993,1.93244,1.87164,1.48847,0.70313,0.28947,0.2436,0.09943,2.05025,1.92627,1.53584,0.007327,0.007327,0.007327
29,45.4838,1.85871,1.94394,1.51903,0.85338,0.28947,0.34087,0.13961,2.097,2.29571,1.6262,0.007228,0.007228,0.007228
30,47.2147,1.83091,1.98273,1.52822,0.85338,0.28947,0.34087,0.13961,2.097,2.29571,1.6262,0.007129,0.007129,0.007129
31,48.9218,1.98318,2.4024,1.63921,0.71119,0.23684,0.22674,0.09054,2.10171,1.97271,1.79975,0.00703,0.00703,0.00703
32,50.5168,1.76296,2.0579,1.58675,0.71119,0.23684,0.22674,0.09054,2.10171,1.97271,1.79975,0.006931,0.006931,0.006931
33,52.1112,1.7754,2.21933,1.70068,0.7036,0.3075,0.23056,0.10283,2.09425,1.8175,1.86548,0.006832,0.006832,0.006832
34,53.6937,1.86109,1.82695,1.75511,0.7036,0.3075,0.23056,0.10283,2.09425,1.8175,1.86548,0.006733,0.006733,0.006733
35,55.4125,1.7362,1.7705,1.66237,0.84336,0.23111,0.2086,0.09565,2.22129,2.17129,1.81986,0.006634,0.006634,0.006634
36,57.1026,1.8912,1.65809,1.58339,0.84336,0.23111,0.2086,0.09565,2.22129,2.17129,1.81986,0.006535,0.006535,0.006535
37,58.7008,1.95372,1.62259,1.61993,0.84336,0.23111,0.2086,0.09565,2.22129,2.17129,1.81986,0.006436,0.006436,0.006436
38,60.292,1.83667,1.68263,1.62458,0.72431,0.31579,0.24558,0.12537,2.10954,1.77117,1.7762,0.006337,0.006337,0.006337
39,61.8839,1.87192,1.49998,1.56918,0.72431,0.31579,0.24558,0.12537,2.10954,1.77117,1.7762,0.006238,0.006238,0.006238
40,63.481,1.86839,1.56823,1.70519,0.83201,0.26316,0.27644,0.11375,2.08093,1.80175,1.81888,0.006139,0.006139,0.006139
41,64.5388,1.69645,1.59202,1.63059,0.83201,0.26316,0.27644,0.11375,2.08093,1.80175,1.81888,0.00604,0.00604,0.00604
42,65.6912,1.78123,1.61591,1.64085,0.78932,0.26316,0.26433,0.12512,2.25792,1.84956,1.79146,0.005941,0.005941,0.005941
43,66.5023,1.77215,1.41646,1.53009,0.78932,0.26316,0.26433,0.12512,2.25792,1.84956,1.79146,0.005842,0.005842,0.005842
44,68.2263,1.84566,1.46466,1.55648,0.86382,0.2816,0.27467,0.08813,2.28834,1.92434,1.79394,0.005743,0.005743,0.005743
45,69.916,1.63663,1.43838,1.45119,0.86382,0.2816,0.27467,0.08813,2.28834,1.92434,1.79394,0.005644,0.005644,0.005644
46,71.6535,1.75255,1.35829,1.42044,0.81108,0.26018,0.24553,0.07927,2.27959,2.00924,1.8619,0.005545,0.005545,0.005545
47,73.2451,1.69729,1.68516,1.50282,0.81108,0.26018,0.24553,0.07927,2.27959,2.00924,1.8619,0.005446,0.005446,0.005446
48,74.8409,1.68889,1.37236,1.42398,0.7838,0.20747,0.20846,0.08479,2.2595,2.36623,1.87559,0.005347,0.005347,0.005347
49,76.5329,1.71505,1.38166,1.44683,0.7838,0.20747,0.20846,0.08479,2.2595,2.36623,1.87559,0.005248,0.005248,0.005248
50,78.1136,1.72475,1.49604,1.4599,0.7838,0.20747,0.20846,0.08479,2.2595,2.36623,1.87559,0.005149,0.005149,0.005149
51,79.7005,1.75903,1.39096,1.49719,0.76868,0.26316,0.27512,0.11525,2.29384,1.70153,1.77684,0.00505,0.00505,0.00505
52,81.2832,1.66914,1.24797,1.37086,0.76868,0.26316,0.27512,0.11525,2.29384,1.70153,1.77684,0.004951,0.004951,0.004951
53,82.8706,1.65047,1.32444,1.42838,0.7644,0.26316,0.28872,0.13028,2.1542,1.78731,1.79215,0.004852,0.004852,0.004852
