epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65407,2.70277,3.00873,2.41145,0.05076,0.15789,0.04404,0.00966,2.70279,2.82144,2.16939,0.0955,0.0005,0.0005
2,3.22351,2.69365,3.17782,2.3273,0.60527,0.10526,0.0668,0.01625,2.65097,2.72392,2.14391,0.0900989,0.00109891,0.00109891
3,4.94173,2.71612,3.05049,2.44299,0.64135,0.18421,0.09791,0.02676,2.69318,2.21805,2.14647,0.0846966,0.00169663,0.00169663
4,5.96156,2.63773,2.69491,2.25848,0.77963,0.18421,0.16751,0.05633,2.59479,2.04297,2.09327,0.0792932,0.00229317,0.00229317
5,7.30258,2.33024,2.3523,1.91781,0.71747,0.21053,0.20486,0.07326,2.44427,2.09476,1.966,0.0738885,0.00288852,0.00288852
6,8.28009,2.32481,2.12344,1.92495,0.79747,0.23219,0.23757,0.07466,2.43603,2.08197,1.8841,0.0684827,0.00348267,0.00348267
7,10.1657,2.14415,2.16104,1.90235,0.94353,0.18421,0.28803,0.11876,2.29028,2.04892,1.86458,0.0630756,0.00407565,0.00407565
8,11.8998,2.0556,2.25138,1.74118,0.79463,0.28947,0.26923,0.09407,2.27317,2.84917,1.7942,0.0576674,0.00466743,0.00466743
9,13.6156,2.09229,2.06427,1.71563,0.63353,0.26316,0.11865,0.03665,2.19206,2.498,1.93936,0.052258,0.00525802,0.00525802
10,15.3351,2.09039,2.51955,1.93212,0.63353,0.26316,0.11865,0.03665,2.19206,2.498,1.93936,0.0468474,0.00584743,0.00584743
11,17.0496,2.01663,2.20179,1.77426,0.76447,0.21053,0.21054,0.06295,2.10793,2.37556,1.82186,0.0414356,0.00643565,0.00643565
12,18.7436,2.00491,2.16836,1.83337,0.83383,0.18421,0.21033,0.08861,2.11386,2.698,1.97118,0.0360227,0.00702268,0.00702268
13,20.3353,1.9376,4.27254,1.85737,0.83383,0.18421,0.21033,0.08861,2.11386,2.698,1.97118,0.0306085,0.00760852,0.00760852
14,21.9231,2.13324,3.62296,1.76104,0.72745,0.13179,0.14702,0.05239,2.2649,2.96675,1.94732,0.0251932,0.00819318,0.00819318
15,23.4917,2.16423,2.22939,1.74254,0.72745,0.13179,0.14702,0.05239,2.2649,2.96675,1.94732,0.0197766,0.00877665,0.00877665
16,25.0808,2.15563,2.15807,1.74409,0.69776,0.21053,0.17828,0.06133,2.38701,2.61498,1.91554,0.0143589,0.00935892,0.00935892
17,26.6733,2.04226,1.8021,1.58615,0.69776,0.21053,0.17828,0.06133,2.38701,2.61498,1.91554,0.0098416,0.0098416,0.0098416
